Nprod,Nvin,Annee,Qte
130,137197,2014,750
131,137198,2016,750
132,137199,2015,750
133,137200,2017,750
134,137201,2003,750
135,137202,2007,750
136,137203,2003,750
137,137204,2011,750
138,137205,2010,750
139,137207,2017,750
140,137208,2011,750
141,137209,2011,750
142,137210,2009,750
143,137211,2004,750
144,137212,2015,750
145,137214,2010,750
146,137217,2016,750
147,137218,2019,750
148,137222,2017,750
149,137224,2013,750
150,137225,2006,750
151,137226,2017,750
152,137230,2010,750
153,137231,2010,750
154,137232,2017,750
155,137235,2016,750
156,137237,2015,750
157,137238,2006,750
158,137241,2006,750
159,137242,2009,750
160,137248,2015,750
161,137254,2002,750
162,137255,2006,750
163,137257,2013,750
164,137258,2018,750
165,137259,2017,750
166,137260,2017,750
167,137261,2018,750
168,137266,2015,750
169,137267,2017,750
170,137268,2016,750
171,137269,2020,750
172,137272,2020,1500
173,137275,2020,750
174,137277,2003,750
175,137278,2003,750
176,137279,2003,750
177,137280,2005,750
178,137281,2005,750
179,137282,2005,750
180,137283,2005,750
181,137285,2005,750
182,137287,2005,750
183,137288,2016,750
184,137289,2009,750
185,137290,2006,750
186,137291,2011,750
187,137293,2019,750
188,137294,2005,750
189,137295,2018,750
190,137296,2018,750
191,137297,2018,750
192,137298,2005,750
193,137299,2003,750
194,137300,2007,750
195,137301,2006,750
196,137302,2004,750
197,137303,1999,750
198,137305,2006,750
199,137306,2008,750
200,137307,2010,750
201,137309,2008,750
202,137310,2007,750
203,137311,2000,750
204,137312,2004,750
205,137314,2007,750
206,137315,2005,750
207,137316,2008,750
208,137317,2017,750
209,137318,2017,750
210,137319,2008,750
211,137320,2009,750
212,137321,2004,750
213,137322,2010,750
214,137323,2010,750
215,137324,2010,750
216,137325,2018,750
217,137326,2005,750
218,137327,2006,750
219,137328,2006,750
220,137329,2005,750
221,137330,2011,750
222,137331,2009,750
223,137332,2004,750
224,137333,2013,750
225,137334,2014,750
226,137335,2005,750
227,137336,2004,750
228,137337,2004,750
229,137338,2018,750
230,137339,2004,750
231,137340,2006,750
232,137341,2017,750
233,137342,2017,750
234,137343,2004,750
235,137344,2012,750
236,137345,2014,750
237,137346,2017,750
238,137347,2017,750
239,137348,2005,500
240,137350,2018,750
241,137351,2011,750
242,137352,2017,750
243,137353,2016,750
244,137354,2015,750
245,137355,2011,375
246,137356,2008,750
247,137357,2011,750
248,137358,2006,750
249,137361,2011,750
