Nvin,Cru,Degre
137197,Altair,14.5
137198,"Altair, Sideral",14.5
137199,Baron du Val Red,11.5
137200,Baron du Val White,11.5
137201,"Benziger, Cabernet Sauvignon",13.5
137202,"Calvet, Beaujolais Villages",12.0
137203,"Calvet, Aetos",13.0
137204,"Calvet, Bordeaux Red",13.5
137205,"Calvet, Bordeaux white",11.5
137207,"Calvet, Varietals Cabernet Sauvignon",13.5
137208,"Calvet, Varietals Merlot",13.5
137209,"Calvet, Reserve Bordeaux white",11.5
137210,"Calvet, Premieres Cotes de Bordeaux",13.0
137211,"Calvet, Margaux",12.5
137212,"Calvet, Medoc",12.5
137214,"Calvet, Saint Emilion",12.5
137217,Tavernello Rosato Frizzante,11.0
137218,Tavernello Bianco Fizzante,11.0
137222,La Carillon de l'Angelus,13.5
137224,Chateau Brillette,13.5
137225,Le Bailly de Camensac,13.5
137226,L'oratoire de Chasse Spleen,13.0
137230,Chateau de Seguin Cuvee Prestige,13.0
137231,Chateau de Seguin,13.0
137232,Chateau Durfort Vivens,13.5
137235,La sirene de Giscours,12.5
137237,Chateau Haut Bages Averous,13.5
137238,La Chapelle de Bages,12.5
137241,Chateau Bahans Haut Brion,12.5
137242,Chateau La Gurgue,13.0
137248,Le Petit Mouton de Mouton Rothschild,12.5
137254,Chateau Tour de Loudenne,12.5
137255,Chateau Tour de Saint Bonnet,12.5
137257,"Concha y Toro, Carmin de Peumo",14.5
137258,"Concha y Toro, Frontera Cabernet Sauvignon",11.5
137259,"Concha y Toro, Frontera Carmenere",12.5
137260,"Concha y Toro, Sunrise Cabernet Sauvignon",13.5
137261,"Concha y Toro, Sunrise Carmenere",13.5
137266,"Concha y Toro, Terrunyo Cabernet Sauvignon",14.5
137267,"Concha y Toro, Terrunyo Carmenere",14.5
137268,"Carlo Rossi, Concord",11.0
137269,"Carlo Rossi, California Red",13.0
137272,"Carlo Rossi, Red Muscat",9.5
137275,"Carlo Rossi, Califonia, White",13.0
137277,Coastal Vineyard Cabernet Sauvignon,14.0
137278,Coastal Vineyard Chardonnay,13.0
137279,"Gallo Family, Frei Ranch Cabernet Sauvignon",13.5
137280,Sierra Valley Chardonnay,12.5
137281,RedWood Creek Cabernet Sauvignon,14.0
137282,RedWood Creek Chardonnay,12.5
137283,RedWood Creek Merlot,14.0
137285,Sycamore Canyon Cabernet Sauvignon,14.0
137287,Sycamore Canyon Chardonnay,14.0
137288,Tott's Brut,11.5
137289,Turning Leaf Cabernet Sauvignon,13.5
137290,Turning Leaf Chardonnay,13.5
137291,Turning Leaf White Zinfandel,9.0
137293,Wild Vine Blueberry Cabernet Sauvignon,6.5
137294,Sierra Valley Cabernet Sauvignon,13.5
137295,"Frei Brothers, Cabernet Sauvignon",14.5
137296,"Frei Brothers, Chardonnay ",13.5
137297,"Frei Brothers, Pinot Noir",14.5
137298,"Gallo Family, Sonoma Cabernet Sauvignon",13.5
137299,Sonoma Chardonnay,13.7
137300,"Gallo Family, Sonoma Merlot",13.9
137301,"Gallo Family, Sonoma Pinot Noir",14.0
137302,Sonoma Zinfandel,13.5
137303,Stefani Vineyard Cabernet Sauvignon,14.0
137305,Ginestet Bordeaux de Ginestet Red,12.5
137306,Ginestet Bordeaux Reserve Red,12.5
137307,Ginestet Bordeaux Blanc,12.0
137309,Mascaron Bordeaux Blanc,12.5
137310,Mascaron Bordeaux rouge,13.0
137311,Reference,13.0
137312,Ginestet Margaux,12.5
137314,Ginestet Medoc,12.5
137315,Henri Medoc,12.0
137316,Mascaron Medoc,13.0
137317,"Noble, Medoc",12.5
137318,Chateau Haut Bages Liberal,13.5
137319,Ginestet Saint Emilion,12.5
137320,Mascaron Puisseguin Saint Emilion,12.5
137321,"Ginestet, Saint Estephe",12.5
137322,Ginestet Sauternes,13.5
137323,"Ginestet, Selection Cabernet Sauvignon",11.5
137324,Ginestet Selection Merlot,11.5
137325,Henri Lavigne,10.5
137326,"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",13.0
137327,"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",13.5
137328,"Jean Berteau, Cotes du Rhone Cuvee Prestige White",13.0
137329,Jean Berteau Excellence,13.0
137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",13.0
137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",13.0
137332,Cote Rotie La Divine,13.0
137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,12.5
137334,Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,13.0
137335,"Jean Luc Colombo, Crozes Hermitage  Les Gravieres",13.0
137336,"Jean Luc Colombo, Crozes Hermitage  La Tuiliere",13.0
137337,"Jean Luc Colombo, Hermitage Le Rouet",13.0
137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",12.5
137339,"Jean Luc Colombo, Saint Joseph Red Le Prieure",13.0
137340,"Jean Moreau & Fils, Chablis",12.5
137341,"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",13.0
137342,"Jean Moreau & Fils, Chablis 1er Cru 'Montmains'",13.0
137343,"Jean Moreau & Fils, Sancerre",12.5
137344,Jordan Cabernet Sauvignon,13.8
137345,Jordan Chardonnay,13.7
137346,"Blue Nun, Cabernet Sauvignon",13.5
137347,"Blue Nun, Dornfelder ",8.5
137348,"Blue Nun, Eiswein Riesling",10.0
